wscode;weatherdate;tmin;tmax;tmoy;rhmin;rhmax;rhmoy;rainfall;windtot;radiation;sunshine;eto;
Andra;01/01/2002;14.5;21.5;18.0;70.5;97.0;86.0;1.0;2.73;13.5;-999;2.87;
Andra;02/01/2002;15.0;21.4;18.2;69.5;98.0;92.0;30.0;2.37;11.5;-999;2.6;
Andra;03/01/2002;14.7;18.9;16.8;83.5;98.5;95.0;48.5;2.16;9.8;-999;1.98;
Andra;04/01/2002;14.6;20.4;17.5;73.5;98.0;92.5;21.5;2.00;11.9;-999;2.49;
Andra;05/01/2002;14.4;23.2;18.8;56.0;99.0;89.5;11.0;1.76;14.1;-999;3.2;
Andra;06/01/2002;12.6;23.7;18.2;60.5;98.0;87.0;7.5;1.54;14.7;-999;3.18;
Andra;07/01/2002;16.1;23.4;19.8;67.5;96.0;89.0;17.5;1.94;13.0;-999;2.95;
Andra;08/01/2002;16.3;23.2;19.8;69.0;97.0;89.5;4.0;2.57;12.2;-999;2.86;
Andra;09/01/2002;15.5;24.3;19.9;62.5;97.5;88.0;8.5;2.89;15.7;-999;3.57;
Andra;10/01/2002;13.2;26.1;19.7;45.0;98.0;77.5;0.5;1.99;23.3;-999;4.88;
Andra;11/01/2002;16.0;25.1;20.6;55.0;98.0;88.0;51.0;1.88;16.0;-999;3.66;
Andra;12/01/2002;15.5;24.1;19.8;65.0;98.5;92.5;25.5;1.93;14.8;-999;3.24;
Andra;13/01/2002;15.3;24.7;20.0;63.0;98.5;88.5;16.0;1.91;19.6;-999;3.97;
Andra;14/01/2002;15.8;25.0;20.4;59.0;99.0;87.5;3.5;2.09;21.5;-999;4.34;
Andra;15/01/2002;14.4;25.0;19.7;53.5;99.5;85.0;20.5;1.35;18.6;-999;3.87;
Andra;16/01/2002;15.7;25.2;20.5;52.0;98.0;87.5;40.0;1.72;16.5;-999;3.74;
Andra;17/01/2002;15.8;22.9;19.4;68.0;98.5;93.5;46.0;1.74;12.3;-999;2.75;
Andra;18/01/2002;15.3;23.5;19.4;58.0;97.5;90.0;31.5;1.96;13.7;-999;3.2;
Andra;19/01/2002;14.8;24.3;19.6;64.0;98.0;90.0;55.5;1.32;14.8;-999;3.16;
Andra;20/01/2002;14.7;23.9;19.3;61.5;99.0;86.0;49.0;2.34;22.4;-999;4.31;
Andra;21/01/2002;15.4;24.3;19.9;61.0;99.5;87.0;0.5;1.91;24.8;-999;4.66;
Andra;22/01/2002;15.8;25.3;20.6;52.5;96.5;79.0;0.0;2.12;23.7;-999;4.81;
Andra;23/01/2002;16.3;26.0;21.2;50.5;97.0;83.0;3.0;1.91;20.3;-999;4.42;
Andra;24/01/2002;14.9;24.4;19.7;58.5;96.5;83.5;11.5;1.78;18.1;-999;3.8;
Andra;25/01/2002;15.5;26.1;20.8;49.0;97.0;82.0;1.5;2.06;22.8;-999;4.8;
Andra;26/01/2002;16.1;26.5;21.3;51.0;98.0;85.5;61.0;2.65;23.7;-999;5.06;
Andra;27/01/2002;16.2;27.0;21.6;47.5;96.0;84.0;8.5;2.06;18.5;-999;4.36;
Andra;28/01/2002;16.2;21.4;18.8;75.0;97.5;90.5;19.0;1.60;10.4;-999;2.31;
Andra;29/01/2002;15.9;20.1;18.0;82.0;98.0;92.5;25.0;3.59;3.8;-999;1.39;
Andra;30/01/2002;16.0;23.0;19.5;69.5;97.5;89.0;7.0;2.91;10.4;-999;2.61;
Andra;31/01/2002;14.7;23.3;19.0;71.5;99.5;92.0;34.5;1.30;15.1;-999;3.02;
Andra;01/02/2002;16.3;25.5;20.9;57.5;98.5;87.0;7.0;2.23;16.7;-999;3.79;
Andra;02/02/2002;16.1;25.7;20.9;52.0;95.5;82.0;0.0;2.77;24.6;-999;5.1;
Andra;03/02/2002;15.2;22.2;18.7;68.0;93.0;84.0;1.0;2.49;17.2;-999;3.46;
Andra;04/02/2002;15.3;21.9;18.6;69.0;95.0;86.0;0.0;2.12;13.4;-999;2.89;
Andra;05/02/2002;13.6;24.8;19.2;54.5;96.5;80.5;0.0;1.90;20.6;-999;4.2;
Andra;06/02/2002;13.7;24.7;19.2;54.0;96.0;81.5;0.0;2.12;20.9;-999;4.29;
Andra;07/02/2002;14.8;23.0;18.9;59.0;97.5;81.0;0.0;2.69;18.7;-999;3.85;
Andra;08/02/2002;14.4;23.7;19.1;62.0;97.5;84.0;0.5;1.83;14.3;-999;3.15;
Andra;09/02/2002;12.9;24.7;18.8;54.0;98.0;81.0;0.0;2.08;23.1;-999;4.51;
Andra;10/02/2002;14.2;25.5;19.9;52.0;97.0;80.5;0.0;1.74;18.6;-999;4;
Andra;11/02/2002;12.3;25.2;18.8;43.0;97.5;78.0;0.0;1.79;25.5;-999;4.96;
