"","Year","Variety","SD","Soil","Mngt","max_value_GY","max_value_lai"
"1",2002,"C1","01/01","DSrain12mm","DSirrg",4.03538528067072,1.66858531714798
"2",2002,"C1","01/01","DSrain12mm","Rainfed",0.441193294481006,1.1388126572644
"3",2002,"C1","01/01","DSrain12mm","Rainfed_true",27.37066809264,0.872283074982993
"4",2002,"C1","01/01","DSrain12mm","Transplanting",2.17835559195399,13.0354334633118
"5",2002,"C1","01/01","DSrain3mm","DSirrg",3.98251567597577,1.65525583810825
"6",2002,"C1","01/01","DSrain3mm","Rainfed",0.617007202354364,1.4014036115511
"7",2002,"C1","01/01","DSrain3mm","Rainfed_true",42.5366492383489,0.945616762803195
"8",2002,"C1","01/01","DSrain3mm","Transplanting",2.12108236760078,12.9646598013022
"9",2002,"C1","01/01","DSrain6mm","DSirrg",3.95195185250616,1.63706737388904
"10",2002,"C1","01/01","DSrain6mm","Rainfed",0.470990079312307,1.33969916319597
"11",2002,"C1","01/01","DSrain6mm","Rainfed_true",26.160182155195,0.926364441654164
"12",2002,"C1","01/01","DSrain6mm","Transplanting",2.15094933879696,13.004668751555
"13",2002,"C1","01/02","DSrain12mm","DSirrg",0.654819563043258,1.08784350538973
"14",2002,"C1","01/02","DSrain12mm","Rainfed",22.7466198133998,0.775109342823568
"15",2002,"C1","01/02","DSrain12mm","Rainfed_true",0.178318490140654,0.4933691027027
"16",2002,"C1","01/02","DSrain12mm","Transplanting",0.376464540419505,11.8264805623866
"17",2002,"C1","01/02","DSrain3mm","DSirrg",0.633813346517524,1.05679370135656
"18",2002,"C1","01/02","DSrain3mm","Rainfed",0.732979590204248,0.907367556818982
"19",2002,"C1","01/02","DSrain3mm","Rainfed_true",0.222157415288092,0.535979938547144
"20",2002,"C1","01/02","DSrain3mm","Transplanting",0.36879270471562,11.7170315127628
"21",2002,"C1","01/02","DSrain6mm","DSirrg",0.641537064040521,1.06424789288307
"22",2002,"C1","01/02","DSrain6mm","Rainfed",23.8045699461783,0.826063849452354
"23",2002,"C1","01/02","DSrain6mm","Rainfed_true",0.205076557518899,0.530872704408158
"24",2002,"C1","01/02","DSrain6mm","Transplanting",0.373391611374006,11.7765829914855
"25",2002,"C1","01/09","DSrain12mm","DSirrg",3589.18322843688,6.87480209825273
"26",2002,"C1","01/09","DSrain12mm","Rainfed",2543.77367184238,5.88194190654286
"27",2002,"C1","01/09","DSrain12mm","Rainfed_true",2232.87122135386,4.5565836859172
"28",2002,"C1","01/09","DSrain12mm","Transplanting",3150.31167523963,9.19796516043387
"29",2002,"C1","01/09","DSrain3mm","DSirrg",3599.80553872933,6.81196585369575
"30",2002,"C1","01/09","DSrain3mm","Rainfed",2813.93496518572,5.88950239664111
"31",2002,"C1","01/09","DSrain3mm","Rainfed_true",2263.20236501167,4.62265237269171
"32",2002,"C1","01/09","DSrain3mm","Transplanting",3186.09817443099,9.1927495680671
"33",2002,"C1","01/09","DSrain6mm","DSirrg",3613.03178912713,6.89001012063487
"34",2002,"C1","01/09","DSrain6mm","Rainfed",2901.99177499171,6.07438251045795
"35",2002,"C1","01/09","DSrain6mm","Rainfed_true",2269.64540660031,4.72582990487121
"36",2002,"C1","01/09","DSrain6mm","Transplanting",3186.69288666992,9.23402785495286
"37",2002,"C1","01/10","DSrain12mm","DSirrg",3589.18322843688,6.87480209825273
"38",2002,"C1","01/10","DSrain12mm","Rainfed",2543.77034313842,5.88192788540227
"39",2002,"C1","01/10","DSrain12mm","Rainfed_true",2232.84225311979,4.55644542824606
"40",2002,"C1","01/10","DSrain12mm","Transplanting",2797.70275476316,10.3828534475923
"41",2002,"C1","01/10","DSrain3mm","DSirrg",3599.80553872933,6.81196585369575
"42",2002,"C1","01/10","DSrain3mm","Rainfed",2813.93777724207,5.88952796730977
"43",2002,"C1","01/10","DSrain3mm","Rainfed_true",2263.23236595509,4.62272447667625
"44",2002,"C1","01/10","DSrain3mm","Transplanting",2694.99949520617,10.3283192301093
"45",2002,"C1","01/10","DSrain6mm","DSirrg",3613.03178912713,6.89001012063487
"46",2002,"C1","01/10","DSrain6mm","Rainfed",2901.99069027906,6.07438368897088
"47",2002,"C1","01/10","DSrain6mm","Rainfed_true",2269.67603613796,4.72590638060909
"48",2002,"C1","01/10","DSrain6mm","Transplanting",2702.74234241366,10.3592731901099
"49",2002,"C1","01/11","DSrain12mm","DSirrg",3305.88987678897,4.97857537409569
"50",2002,"C1","01/11","DSrain12mm","Rainfed",1917.16718463993,4.53261321759102
"51",2002,"C1","01/11","DSrain12mm","Rainfed_true",1759.61551989133,3.86410276127076
"52",2002,"C1","01/11","DSrain12mm","Transplanting",3019.21263810543,11.3777272475887
"53",2002,"C1","01/11","DSrain3mm","DSirrg",3353.24771538821,4.8518991153124
"54",2002,"C1","01/11","DSrain3mm","Rainfed",2563.22001532577,4.60168951283085
"55",2002,"C1","01/11","DSrain3mm","Rainfed_true",1803.56910379118,3.97124626740567
"56",2002,"C1","01/11","DSrain3mm","Transplanting",3006.15852219332,11.3236603482237
"57",2002,"C1","01/11","DSrain6mm","DSirrg",3340.44000009115,4.85943732720034
"58",2002,"C1","01/11","DSrain6mm","Rainfed",2185.52412059244,4.54613034800654
"59",2002,"C1","01/11","DSrain6mm","Rainfed_true",1765.10093407099,3.87960233101264
"60",2002,"C1","01/11","DSrain6mm","Transplanting",3008.76577030285,11.3782253241137
"61",2002,"C1","01/12","DSrain12mm","DSirrg",2623.65945607615,3.5680189190136
"62",2002,"C1","01/12","DSrain12mm","Rainfed",594.410038201005,2.92780313728573
"63",2002,"C1","01/12","DSrain12mm","Rainfed_true",441.352436526358,2.77260906540648
"64",2002,"C1","01/12","DSrain12mm","Transplanting",1845.61541988421,12.0566500559576
"65",2002,"C1","01/12","DSrain3mm","DSirrg",2515.30617292767,3.35033570327402
"66",2002,"C1","01/12","DSrain3mm","Rainfed",1726.56869170694,3.30112784507284
"67",2002,"C1","01/12","DSrain3mm","Rainfed_true",440.912028370076,2.79265015063704
"68",2002,"C1","01/12","DSrain3mm","Transplanting",1877.21239212355,12.2675500863242
"69",2002,"C1","01/12","DSrain6mm","DSirrg",2526.6397087874,3.44225346688171
"70",2002,"C1","01/12","DSrain6mm","Rainfed",1325.80611151828,3.11783893945484
"71",2002,"C1","01/12","DSrain6mm","Rainfed_true",441.319916614026,2.79016164073102
"72",2002,"C1","01/12","DSrain6mm","Transplanting",1876.85661478579,12.1367086720435
"73",2002,"C1","15/01","DSrain12mm","DSirrg",158.388482741046,1.38988880119327
"74",2002,"C1","15/01","DSrain12mm","Rainfed",15.6824704072369,1.03806068406429
"75",2002,"C1","15/01","DSrain12mm","Rainfed_true",0.430911597772452,0.791149588898768
"76",2002,"C1","15/01","DSrain12mm","Transplanting",82.6094707649714,13.0093798876266
"77",2002,"C1","15/01","DSrain3mm","DSirrg",156.392098322889,1.38017040803629
"78",2002,"C1","15/01","DSrain3mm","Rainfed",56.0349032303726,1.24170465249406
"79",2002,"C1","15/01","DSrain3mm","Rainfed_true",0.483576642736683,0.857302737268867
"80",2002,"C1","15/01","DSrain3mm","Transplanting",79.9083375103905,12.939034675202
"81",2002,"C1","15/01","DSrain6mm","DSirrg",154.532493704754,1.36322773713921
"82",2002,"C1","15/01","DSrain6mm","Rainfed",6.15961512324763,1.17458608634308
"83",2002,"C1","15/01","DSrain6mm","Rainfed_true",0.444948246664017,0.839739758687793
"84",2002,"C1","15/01","DSrain6mm","Transplanting",81.1391496947693,12.9788355640529
"85",2002,"C1","15/09","DSrain12mm","DSirrg",3589.18322843688,6.87480209825273
"86",2002,"C1","15/09","DSrain12mm","Rainfed",2543.77366409596,5.88194187391569
"87",2002,"C1","15/09","DSrain12mm","Rainfed_true",2232.87115390725,4.55658336404697
"88",2002,"C1","15/09","DSrain12mm","Transplanting",2877.13506296261,7.93007405420738
"89",2002,"C1","15/09","DSrain3mm","DSirrg",3599.80553872933,6.81196585369575
"90",2002,"C1","15/09","DSrain3mm","Rainfed",2813.93497173118,5.88950245616142
"91",2002,"C1","15/09","DSrain3mm","Rainfed_true",2263.20243485552,4.62265254057536
"92",2002,"C1","15/09","DSrain3mm","Transplanting",2886.665895715,7.87952271947466
"93",2002,"C1","15/09","DSrain6mm","DSirrg",3613.03178912713,6.89001012063487
"94",2002,"C1","15/09","DSrain6mm","Rainfed",2901.99177246679,6.07438251320125
"95",2002,"C1","15/09","DSrain6mm","Rainfed_true",2269.6454779033,4.72583008293719
"96",2002,"C1","15/09","DSrain6mm","Transplanting",2896.35291497857,7.90843375389089
"97",2002,"C1","15/10","DSrain12mm","DSirrg",3589.18322843688,6.87480209825273
"98",2002,"C1","15/10","DSrain12mm","Rainfed",2541.66474878572,5.87236643772112
"99",2002,"C1","15/10","DSrain12mm","Rainfed_true",2219.12268857706,4.48880543437506
"100",2002,"C1","15/10","DSrain12mm","Transplanting",3110.1903998518,10.8284108223822
"101",2002,"C1","15/10","DSrain3mm","DSirrg",3599.80553872933,6.81196585369575
"102",2002,"C1","15/10","DSrain3mm","Rainfed",2815.24798611508,5.9013454534786
"103",2002,"C1","15/10","DSrain3mm","Rainfed_true",2263.4635053433,4.60965030495251
"104",2002,"C1","15/10","DSrain3mm","Transplanting",3104.07124009239,10.8132822626818
"105",2002,"C1","15/10","DSrain6mm","DSirrg",3613.03178912713,6.89001012063487
"106",2002,"C1","15/10","DSrain6mm","Rainfed",2901.51227726037,6.07495340637943
"107",2002,"C1","15/10","DSrain6mm","Rainfed_true",2260.98524057651,4.67291529468611
"108",2002,"C1","15/10","DSrain6mm","Transplanting",3077.59309308457,10.7763405503125
"109",2002,"C1","15/11","DSrain12mm","DSirrg",2968.52819075612,4.67464277452193
"110",2002,"C1","15/11","DSrain12mm","Rainfed",1632.36185876026,3.66228423727425
"111",2002,"C1","15/11","DSrain12mm","Rainfed_true",441.352436526358,2.77260906540648
"112",2002,"C1","15/11","DSrain12mm","Transplanting",2398.05145311507,11.9862553648552
"113",2002,"C1","15/11","DSrain3mm","DSirrg",2942.40146910343,4.44381804350827
"114",2002,"C1","15/11","DSrain3mm","Rainfed",2236.32928119184,4.28088372432986
"115",2002,"C1","15/11","DSrain3mm","Rainfed_true",440.912028370076,2.79265015063704
"116",2002,"C1","15/11","DSrain3mm","Transplanting",2381.57278318026,11.9062123813044
"117",2002,"C1","15/11","DSrain6mm","DSirrg",2935.22952813199,4.46318054615769
"118",2002,"C1","15/11","DSrain6mm","Rainfed",2107.54655142008,4.33420683729885
"119",2002,"C1","15/11","DSrain6mm","Rainfed_true",441.319916614026,2.79016164073102
"120",2002,"C1","15/11","DSrain6mm","Transplanting",2386.38198353769,11.8900446108995
"121",2002,"C1","15/12","DSrain12mm","DSirrg",2118.91653433096,2.91221885228742
"122",2002,"C1","15/12","DSrain12mm","Rainfed",720.118560582421,2.37332521533186
"123",2002,"C1","15/12","DSrain12mm","Rainfed_true",628.219029194938,2.22085374831631
"124",2002,"C1","15/12","DSrain12mm","Transplanting",1475.34621243102,12.2176331167373
"125",2002,"C1","15/12","DSrain3mm","DSirrg",2227.14160776905,2.81204696706157
"126",2002,"C1","15/12","DSrain3mm","Rainfed",1499.00878960432,2.76639536574061
"127",2002,"C1","15/12","DSrain3mm","Rainfed_true",629.204937037583,2.25051040559558
"128",2002,"C1","15/12","DSrain3mm","Transplanting",1498.58766531625,12.8270312750762
"129",2002,"C1","15/12","DSrain6mm","DSirrg",2211.92428530023,2.83391652155583
"130",2002,"C1","15/12","DSrain6mm","Rainfed",968.373736038498,2.55680629833937
"131",2002,"C1","15/12","DSrain6mm","Rainfed_true",628.983870690501,2.24797071323008
"132",2002,"C1","15/12","DSrain6mm","Transplanting",1473.16723628103,12.3062406171265
"133",2002,"C2","01/01","DSrain12mm","DSirrg",0.560340430707337,2.50165862699678
"134",2002,"C2","01/01","DSrain12mm","Rainfed",0.124526132985097,1.40571199067302
"135",2002,"C2","01/01","DSrain12mm","Rainfed_true",0.0368500336500411,1.25283398448167
"136",2002,"C2","01/01","DSrain12mm","Transplanting",0.437888582566161,11.3144319757144
"137",2002,"C2","01/01","DSrain3mm","DSirrg",0.554572237237446,2.45334459202292
"138",2002,"C2","01/01","DSrain3mm","Rainfed",0.150836709992102,1.75678557256119
"139",2002,"C2","01/01","DSrain3mm","Rainfed_true",0.0465447416674895,1.39434083459433
"140",2002,"C2","01/01","DSrain3mm","Transplanting",0.402479908423821,11.0632086641089
"141",2002,"C2","01/01","DSrain6mm","DSirrg",0.558291722686781,2.4916474566291
"142",2002,"C2","01/01","DSrain6mm","Rainfed",0.149127573165552,1.67140334918869
"143",2002,"C2","01/01","DSrain6mm","Rainfed_true",0.0367549227038234,1.31266645343857
"144",2002,"C2","01/01","DSrain6mm","Transplanting",0.417933201531769,11.1169961194446
"145",2002,"C2","01/02","DSrain12mm","DSirrg",0.274995588761543,2.537679124539
"146",2002,"C2","01/02","DSrain12mm","Rainfed",0.0113905287999741,1.29960182919364
"147",2002,"C2","01/02","DSrain12mm","Rainfed_true",0,0.809889907820083
"148",2002,"C2","01/02","DSrain12mm","Transplanting",0.226844372467788,10.7723945831692
"149",2002,"C2","01/02","DSrain3mm","DSirrg",0.273316258161057,2.49283276073589
"150",2002,"C2","01/02","DSrain3mm","Rainfed",0.0130346586355968,1.49117521436868
"151",2002,"C2","01/02","DSrain3mm","Rainfed_true",0,1.00750735084673
"152",2002,"C2","01/02","DSrain3mm","Transplanting",0.223994003396696,10.540469164058
"153",2002,"C2","01/02","DSrain6mm","DSirrg",0.273777644532512,2.51674014139372
"154",2002,"C2","01/02","DSrain6mm","Rainfed",0.0111945947051879,1.30866787136626
"155",2002,"C2","01/02","DSrain6mm","Rainfed_true",0,1.00727377556228
"156",2002,"C2","01/02","DSrain6mm","Transplanting",0.225673012402167,10.6513801677806
"157",2002,"C2","01/09","DSrain12mm","DSirrg",2664.23425615327,3.84114640672673
"158",2002,"C2","01/09","DSrain12mm","Rainfed",1944.91013137601,3.46839038595306
"159",2002,"C2","01/09","DSrain12mm","Rainfed_true",1965.32643471435,2.81900971643952
"160",2002,"C2","01/09","DSrain12mm","Transplanting",4109.36017082888,3.97212027289494
"161",2002,"C2","01/09","DSrain3mm","DSirrg",2631.97936371065,3.81570447513615
"162",2002,"C2","01/09","DSrain3mm","Rainfed",2166.4216809744,3.65879104446534
"163",2002,"C2","01/09","DSrain3mm","Rainfed_true",1985.36596926539,2.90115911227431
"164",2002,"C2","01/09","DSrain3mm","Transplanting",4055.68835494502,3.97212027289494
"165",2002,"C2","01/09","DSrain6mm","DSirrg",2643.94664271438,3.8412481822655
"166",2002,"C2","01/09","DSrain6mm","Rainfed",2223.14440557188,3.67227894323862
"167",2002,"C2","01/09","DSrain6mm","Rainfed_true",1984.84463895683,2.98289653728379
"168",2002,"C2","01/09","DSrain6mm","Transplanting",4071.38117474336,3.97212027289494
"169",2002,"C2","01/10","DSrain12mm","DSirrg",2664.23425615327,3.84114640672673
"170",2002,"C2","01/10","DSrain12mm","Rainfed",1944.90919588075,3.46839178178964
"171",2002,"C2","01/10","DSrain12mm","Rainfed_true",1965.32664365376,2.81892470492028
"172",2002,"C2","01/10","DSrain12mm","Transplanting",3328.31099490088,9.35731469013273
