15;;;;;;;;;;;;;;;;;;;;;;
countrycode;;;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH;PH
cropcode;;;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice;Rice
endingdate;;;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13;2014-12-13
fieldcode;;;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1
itkcode;;;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1;IRRI-YP12DS-D1
name;;;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1;Ndiaye_V2_1
namesoil;;;;;;;;;;;;;;;;;;;;;;
simcode;;;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1;IRYP12DSD1V1
soilcode;;;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI;IRRInPRRI
sowing;;;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04;2013-12-04
startingdate;;;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01;2013-12-01
variety;;;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01;YPV01
wscode;;;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw;IRRIw
wsname;;;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos;LosBanos
wstype;;;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique;Synoptique
130;;;;;;;;;;;;;;;;;;;;;;
asscstr;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
attenmitch;;;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955;0.9955
bundheight;;;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160;160
ca;;;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
co2cp;;;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
co2exp;;;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
co2slopetr;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coeffassimsla;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coefficientq10;;;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
coeffinternodemass;0.0004;0.002;;;;;;;;;;;;;;;;;;;;
coeffinternodenum;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
coeffleafdeath;0.01;0.1;;;;;;;;;;;;;;;;;;;;
coeffleafwlratio;;;0.022867315;0.028473177;0.022130684;0.027558738;0.022495334;0.022736149;0.022400205;0.023994889;0.017304607;0.030800543;0.027790974;0.020055178;0.020531131;0.03104068;0.027282069;0.034240562;0.026023595;0.030409946;0.029561672;0.023459607
coefflodging;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
coeffpaniclemass;0.003;0.012;;;;;;;;;;;;;;;;;;;;
coeffpansinkpop;;;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
coeffrescapacityinternode;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
coeffreservesink;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
coeffrootmasspervolmax;;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
coefftillerdeath;0.05;1;;;;;;;;;;;;;;;;;;;;
coefftransplantingshock;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
densityfield;;;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000;250000
densitynursery;;;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000;40000000
depthsoil;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
