Observed variable/date;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
StemVigor;2.5;1.82;1.64;2.32;1.39;3.13;2.48;2.33;2.34;3.86;2.64;2.55;2.64;2.43;2.92;1.74;3.24;2.57;2.73;2.78
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
DryMatStemPop;6094;5160;8100;5913;5439;8538;5951;5707;10897;8481;6039;7430;8031;5621;6297;4603;7728;5002;6962;5683
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
DryMatStructLeafPop;2167;1808;2253;1671;1851;2412;2114;2118;2593;2520;2088;2227;2066;1760;1592;1605;2115;1898;2223;1944
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
DeadLeafDrywtPop;718;797;1030;682;293;2075;1122;451;849;740;385;1035;1725;782;602;509;1277;472;814;432
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
DryMatAbovegroundTotPop;12509;11181;13019;11044;10197;15629;12299;11398;15784;14825;11579;13972;14873;11436;11848;10060;14197;10081;13074;10357
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
LAI;4.06;3.56;5.07;3.47;3.71;4.55;4.1;4.68;4.92;4.08;3.99;4.08;3.86;3.72;3.07;3.27;4.38;3.81;4.81;3.49
Time (d after sowing=sdj);98;91;95;89;82;101;94;91;93;101;91;100;107;89;93;91;106;88;94;90
;;;;;;;;;;;;;;;;;;;;
GrainYieldPop;7060;6832;3272;5555;5227;5209;6226;6244;2891;6169;6135;6560;6102;6544;6715;6686;6155;5416;6151;4596
Time;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end
;;;;;;;;;;;;;;;;;;;;
DryMatAbovegroundTotPop;16257;15188;13721;15020;13939;16488;14842;15676;14084;15471;15214;15995;16708;14399;14663;13554;16947;14271;16077;13295
Time;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end
;;;;;;;;;;;;;;;;;;;;
CulmsPerHill;15;14.9;14.7;13.4;14.4;10;9.9;12.6;13.6;11.3;11.1;14.7;13.1;15.7;12.8;15.2;13.2;11.6;12.5;11.9
Time;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end
;;;;;;;;;;;;;;;;;;;;
ApexHeight;630;697;1306;721;1025;1092;924;667;1331;772;687;757;899;568;651;602;713;647;758;629
Time;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end
