ligne	Treatment	Rep	nbleaf_pi	nb_leaf_stem_elong	phenostage_to_end_filling	phenostage_to_maturity	StartingDate	EndingDate	Day	PHT	lig	leafNb	tillerNb_1	AreaLFEL	biomLeaf	weight_panicle_mainstem	biomIn	biomAeroOut	stock_internode_mainstem	FTSW
1	1	1	17	8	29	30	22/05/2013	13/09/2013	27	10.75	6	8	1	69.353625	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	34	21	8	10	1	165.532725	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	41	33.375	10	11	1	226.895	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	47	78	12	12	1	291.525	NA	NA	NA	30.22	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	54	NA	NA	NA	1	NA	NA	NA	NA	43.16	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	55	130.375	14	10	1	366.99375	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	61	158.75	15	9	1	516.2925	NA	NA	NA	56.42	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	68	204.25	16	9	1	376.7745	NA	NA	NA	98.19	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	75	229.5	17	8	1	483	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	76	NA	NA	NA	1	NA	NA	NA	NA	107.39	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	82	NA	18	8	1	483.69	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	89	NA	NA	NA	1	NA	NA	NA	NA	119.05	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	96	289.75	20	9	1	513.36	NA	NA	NA	NA	NA	1
1	1	1	17	8	29	30	22/05/2013	13/09/2013	111	351.5	22	8	1	273.861	48.9357434	4.56	96.43102816	149.9267716	25.45549517	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	27	11.5	5	8	1	55.752	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	34	20.5	7	9	1	163.944	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	41	33.75	9	9	1	182.07375	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	47	72.75	11	10	1	278.7255	NA	NA	NA	29.12	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	54	NA	NA	NA	1	NA	NA	NA	NA	52.42	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	55	118.25	12	9	1	398.811375	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	61	149.875	13	9	1	NA	NA	NA	NA	61.14	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	68	192.5	15	9	1	388.125	NA	NA	NA	120.73	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	75	222.75	16	9	1	388.056	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	76	NA	NA	NA	1	NA	NA	NA	NA	76.87	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	82	NA	17	9	1	NA	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	89	NA	NA	NA	1	NA	NA	NA	NA	111.15	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	96	306	19	9	1	414	NA	NA	NA	NA	NA	1
1	1	2	17	8	29	30	22/05/2013	13/09/2013	114	331.25	21	7	1	270.3765	42.57375908	5.405	76.24128091	124.22004	16.90410252	1
1	1	3	17	8	29	30	22/05/2013	13/09/2013	27	9.875	5	7	1	51.97425	NA	NA	NA	NA	NA	1
1	1	3	17	8	29	30	22/05/2013	13/09/2013	34	18.05	7	9	1	149.773125	NA	NA	NA	NA	NA	1
1	1	3	17	8	29	30	22/05/2013	13/09/2013	41	29.35	9	11	1	228.605625	NA	NA	NA	NA	NA	1
1	1	3	17	8	29	30	22/05/2013	13/09/2013	47	58.5	11	11	1	338.79	NA	NA	NA	NA	NA	1
